year,prem_current_2022,prem_demo_current_2022,prem_current_2023,prem_demo_current_2023,pchange_prem_current_2022,pchange_prem_demo_current_2022,pchange_prem_current_2023,pchange_prem_demo_current_2023
1987,809.44519,884.14478,815.91815,894.81915,,,,
1988,958.44983,1047.9805,966.02521,1060.5349,.18408246,.18530414,.18397318,.1851947
1989,1102.4009,1216.3612,1108.5459,1228.0878,.15019149,.16067162,.1475331,.15798901
1990,1270.2362,1388.8772,1278.11,1403.1378,.15224534,.14182959,.15296082,.14253871
1991,1393.4445,1514.5509,1402.566,1530.63,.096996292,.090485819,.097375073,.0908622
1992,1510.5388,1645.9131,1519.13,1661.9679,.084032327,.086733378,.08310765,.085806429
1993,1613.2784,1755.4587,1621.0077,1771.0022,.068015218,.0665562,.067063175,.065605544
1994,1668.9834,1805.6035,1673.8505,1818.192,.03452906,.028565021,.032598719,.026645828
1995,1727.1216,1861.0887,1728.681,1870.3021,.034834448,.030729482,.032757148,.028660398
1996,1795.3451,1928.7151,1794.7974,1935.9238,.039501257,.036336973,.038246695,.035086151
1997,1866.2,1997.1584,1864.2122,2003.099,.039465878,.035486531,.038675562,.034699284
1998,1955.8611,2088.6089,1957.2214,2098.5137,.048044808,.045790274,.049892001,.047633529
1999,2092.5186,2228.7129,2095.5588,2240.9771,.069870725,.06708011,.070680507,.067887753
2000,2248.1223,2383.8721,2251.0149,2396.592,.074361965,.069618277,.074183576,.069440685
2001,2469.377,2597.9233,2469.377,2608.4292,.098417535,.089791343,.097006045,.088390999
2002,2749.208,2876.2224,2749.208,2887.8538,.11332051,.10712371,.11332051,.10712369
2003,3047.4666,3159.6382,3047.4666,3172.4155,.1084889,.098537467,.10848889,.09853746
2004,3253.3477,3342.2148,3253.3477,3355.7305,.067558043,.057784054,.067558117,.057784025
2005,3475.2,3555.3569,3475.2,3569.7346,.06819205,.063772716,.068192005,.063772745
2006,3640.3184,3697.9128,3640.3184,3712.8672,.047513332,.040096093,.047513355,.040096138
2007,3854.7278,3901.5291,3854.7278,3917.3066,.058898527,.055062439,.058898538,.055062421
2008,3994.1428,4008.8582,3994.1428,4025.0698,.036167294,.027509501,.036167286,.027509509
2009,4250.8232,4235.7485,4250.8232,4252.8774,.064264245,.05659724,.064264208,.056597184
2010,4449.2754,4419.8218,4449.2754,4437.6958,.046685543,.043457177,.04668558,.043457251
2011,4632.9043,4594.6343,4632.9043,4613.2148,.041271642,.03955188,.041271642,.039551843
2012,4705.3965,4672.2095,4705.3965,4691.1035,.015647262,.016883852,.015647246,.016883817
2013,4737.103,4748.7549,4738.207,4769.0698,.0067383288,.016383182,.0069729611,.016620036
2014,4826.1602,4823.8237,4825.6045,4842.7734,.018799968,.015808104,.018445261,.015454505
2015,4967.9897,4969.2754,4967.3301,4988.4009,.029473204,.030174807,.0293695,.030071083
2016,5214.3081,5220.335,5205.2578,5232.0254,.04958117,.050522406,.047898516,.048838198
2017,5506.8203,5514.8364,5494.6704,5524.5801,.056097969,.056414243,.055600051,.055916145
2018,5763.0103,5736.7563,5742.2739,5738.876,.046522312,.040240567,.045062486,.038789537
2019,5915.6558,5901.5229,5901.3701,5910.7144,.026487097,.028721182,.027706131,.029942863
2020,6063.5474,6049.061,6123.4453,6128.8359,.025,.025,.037631124,.036902744
2021,6275.7715,6260.7783,6345.5205,6346.9575,.035,.035,.036266379,.035589397
2022,6401.2866,6385.9937,6676.2544,6702.8389,.02,.02,.052120846,.056071173
2023,6830.1729,6813.8555,7330.501,7330.0488,.067000002,.067000002,.097996056,.093573779
2024,,,7755.5732,7717.5029,,,.057986796,.052858327
