year,lndiff_prem_kff_single,lndiff_prem_kff_family
1999,.077842489,.037258167
2000,.065639235,.10033222
2001,.089895003,.10573851
2002,.14310084,.11979663
2003,.10034797,.13107678
2004,.088217668,.092820816
2005,.085295878,.089353688
2006,.052758422,.053680148
2007,.054364949,.053094808
2008,.049013402,.046324752
2009,.025190249,.053361345
2010,.045586746,.029105021
2011,.072564751,.090412751
2012,.033686634,.043617792
2013,.046795215,.037766203
2014,.023680676,.029111594
2015,.036823973,.041368358
2016,.029010391,.033460684
2017,.038862035,.03371045
2018,.030327659,.044405419
2019,.041471437,.047779787
2020,.038482029,.036551613
2021,.03537748,.040360827
2022,.021981716,.010831724
2023,.064135522,.064850099
