year,cpiumed_cy_b231205e,gdp_cy_b231205e,pop_cy_b231205e,inc_cy_b231205e
1950,.151,299.825,151.684,214.825
1951,.15825,346.925,154.28675,237.175
1952,.1670833333333333,367.325,156.954,250.45
1953,.1729166666666667,389.225,159.5655,266
1954,.17825,390.525,162.3915,272.05
1955,.1825,425.475,165.27475,291.3
1956,.189,449.35,168.2215,311.325
1957,.19675,474.05,171.274,329.1
1958,.2063333333333333,481.225,174.141,340.4
1959,.2149166666666667,521.65,177.13025,360.575
1960,.2225833333333333,542.375,180.76,376.075
1961,.2290833333333333,562.2000000000001,183.742,393.325
1962,.23525,603.925,186.5905,417.275
1963,.2408333333333333,637.4500000000001,189.2995,438.2
1964,.2459166666666667,684.4500000000001,191.927,476.125
1965,.2518333333333334,742.3,194.34675,513
1966,.263,813.4,196.5995,553.975
1967,.2815,859.9500000000001,198.7515,592.775
1968,.2986666666666667,940.625,200.7455,643.9500000000001
1969,.3191666666666667,1017.6,202.736,695.85
1970,.3395833333333334,1073.325,205.089,761.975
1971,.3613333333333333,1164.875,207.69175,831.0749999999999
1972,.37325,1279.125,209.92425,900.8249999999999
1973,.3875833333333334,1425.375,211.9385,1008.375
1974,.4236666666666667,1545.25,213.89825,1100.775
1975,.4749166666666667,1684.9,215.981,1221.775
1976,.52,1873.425,218.08625,1329.975
1977,.56975,2081.825,220.28925,1461.35
1978,.6174999999999999,2351.6,222.629,1634.05
1979,.67475,2627.325,225.106,1813.8
1980,.7485833333333334,2857.325,227.7255,2024.95
1981,.82925,3207.025,230.00825,2257.425
1982,.9261666666666667,3343.8,232.21825,2434.7
1983,1.006583333333333,3634.025,234.3325,2628.85
1984,1.06975,4037.65,236.394,2910.775
1985,1.136166666666667,4339,238.50625,3105.075
1986,1.221666666666667,4579.625,240.6825,3293.4
1987,1.30175,4855.25,242.8425,3457.225
1988,1.38625,5236.425,245.061,3774.075
1989,1.4925,5641.6,247.38725,4053.25
1990,1.628083333333333,5963.125,250.181,4318.625
1991,1.770166666666667,6158.125,253.53025,4501.025
1992,1.900583333333333,6520.325000000001,256.92175,4804.7
1993,2.014,6858.55,260.2815,5004.125
1994,2.11025,7287.25,263.4545,5247.825
1995,2.2045,7639.75,266.5875,5534.95
1996,2.282666666666667,8073.125,269.71425,5829.125
1997,2.345916666666667,8577.549999999999,272.95825,6142.175
1998,2.42125,9062.825000000001,276.15425,6555.95
1999,2.505583333333334,9631.175000000001,279.3275,6866.675
2000,2.6075,10250.95,282.39825,7384.975
2001,2.727666666666667,10581.925,285.2255,7754.1
2002,2.856333333333334,10929.1,287.95475,8097.875
2003,2.970583333333333,11456.45,290.62625,8478.225
2004,3.101416666666667,12217.175,293.26225,8967.15
2005,3.23225,13039.2,295.99275,9333.65
2006,3.361916666666667,13815.6,298.8175,9945.025
2007,3.510649166666667,14474.25,301.696,10439.65
2008,3.640715,14769.85,304.543,10918.15
2009,3.756081666666667,14478.05,307.24025,10913.3
2010,3.884231666666667,15048.975,309.8385,11319
2011,4.0024125,15599.725,312.295,11855.875
2012,4.149234166666667,16253.95,314.72525,12408.275
2013,4.251325000000001,16880.675,317.09925,12391.225
2014,4.35306,17608.125,319.60075,12998.4
2015,4.4676175,18295,322.1125,13532.85
2016,4.636781666666667,18804.9,324.60925,13928.9
2017,4.753174166666667,19612.1,326.85975,14613.95
2018,4.847040833333334,20656.525,328.79475,15454.075
2019,4.984161666666667,21521.4,330.5125,16156.975
2020,5.1886975,21322.925,331.7875,17372.55
2021,5.252758333333333,23594.05,332.351,18664.425
2022,5.4655775,25744.1,333.595,18702.45
2023,5.48320575,27340.87,335.2859802106044,20209.62
2024,5.6638485,28417.97,337.3711908838801,21056.2775
2025,5.88973025,29564.9375,340.6975376074898,22315.365
2026,6.0922815,30812.69,344.3660131740207,23126.0925
2027,6.29982575,32074.8475,347.2323329665616,24075.3575
2028,6.5130595,33371.3725,348.9896736438709,25201.6675
2029,6.73257125,34714.1675,350.4795740188462,26266.85
2030,6.958832,36094.545,352.1060003162074,27411.1625
2031,7.19223525,37515.8775,353.8909292224619,28591.4175
2032,7.4331375,38979.3675,355.6733930963296,29825.635
2033,7.68188425,40487.6025,357.334773830752,31074.165
2034,7.9388,42036.71,358.8943100388371,32349.665
2035,8.2041965,43627.05,360.4148442190093,33635.7375
2036,8.47838325,45262.725,361.919874645444,34961.625
2037,8.76167925,46950.9225,363.3855435319713,36326.0025
2038,9.05440525,48693.0825,364.7851446288901,37736.295
2039,9.356881250000001,50486.735,366.1166241144807,39195.95
2040,9.66943975,52333.045,367.390769765486,40705.6975
2041,9.992419999999999,54234.5525,368.6146856231709,42265.59
2042,10.3261725,56195.45,369.7875971680921,43874.79
2043,10.6710575,58223.425,370.9050947237936,45538.9475
2044,11.027455,60322.875,371.9700779446782,47257.21
2045,11.39574,62497.275,372.9874447733832,49033.36
2046,11.7763225,64750.5875,373.9617708262525,50875.72
2047,12.1696,67087.06,374.89700241604,52794.555
2048,12.5760075,69510.33,375.7970471175389,54781.485
2049,12.9959775,72022.22500000001,376.6655125849431,56840.1025
2050,13.42996,74627.11,377.507560707777,58994.9525
2051,13.87843,77323.55250000001,378.3292624636469,61245.4675
2052,14.34187,80113.1575,379.1360345560424,63571.1675
2053,14.8207825,83002.1225,379.9350802647913,65973.7375
2054,15.315675,85991.91,380.730883442692,68463.4975
