age,malefact,femfact
0,2.49,2.12
1,1.73,1.46
2,1.14,0.96
3,0.72,0.61
4,0.46,0.38
5,0.33,0.27
6,0.28,0.22
7,0.28,0.22
8,0.31,0.25
9,0.35,0.28
10,0.39,0.32
11,0.42,0.35
12,0.45,0.39
13,0.48,0.43
14,0.50,0.47
15,0.52,0.50
16,0.53,0.54
17,0.53,0.56
18,0.51,0.58
19,0.49,0.59
20,0.46,0.60
21,0.43,0.61
22,0.40,0.64
23,0.39,0.68
24,0.38,0.73
25,0.39,0.79
26,0.40,0.86
27,0.41,0.93
28,0.43,1.00
29,0.45,1.06
30,0.47,1.11
31,0.49,1.15
32,0.52,1.18
33,0.54,1.20
34,0.56,1.21
35,0.59,1.21
36,0.61,1.21
37,0.64,1.20
38,0.67,1.20
39,0.70,1.19
40,0.73,1.19
41,0.77,1.20
42,0.80,1.21
43,0.84,1.22
44,0.87,1.24
45,0.91,1.26
46,0.96,1.29
47,1.01,1.33
48,1.06,1.37
49,1.12,1.42
50,1.19,1.47
51,1.26,1.52
52,1.33,1.57
53,1.41,1.62
54,1.48,1.66
55,1.57,1.71
56,1.65,1.76
57,1.74,1.81
58,1.83,1.87
59,1.93,1.93
60,2.02,1.99
61,2.12,2.07
62,2.23,2.15
63,2.34,2.23
64,2.46,2.32
